resistant_phenotype,genome_name,genome_id,antibiotic,label,organism
resistant,Klebsiella pneumoniae subsp. pneumoniae strain R1876,72407.1155,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBEGAAC-19-0008,72407.2838,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 1388/2281,72407.1055,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBEAAGC-19-0006,72407.2965,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCHACA-19-0054,72407.2579,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain WCHKP015079,72407.863,imipenem,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae TUM2590,72407.1942,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae M6284360,72407.3056,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBDDAAJ-19-0029,72407.2749,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain SCKP020075,72407.899,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain kpn-hnqyy,72407.1602,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain WRC17_CMC307,72407.1624,imipenem,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain PP1,72407.1461,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCGAAG-19-0165,72407.2535,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 291_EBAC,72407.1253,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain AUSMDU00008079,72407.693,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae TUM2681,72407.1944,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 785/1754,72407.906,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBBDAJB-19-0090,72407.2420,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae TUM9506,72407.1946,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBCGACB-19-0315,72407.2562,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain SIKP159,72407.1314,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864793,72407.569,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBCBAAI-19-0077,72407.2461,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBEGADG-19-0001,72407.2839,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 1719/2692,72407.1023,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae KP21,72407.1758,imipenem,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCIACA-19-0273,72407.2656,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 1601/2543,72407.1016,gentamicin,0,Klebsiella pneumoniae
susceptible,"Klebsiella pneumoniae subsp. pneumoniae strain 2000/3010,1",72407.943,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae WCHKP015113,72407.1970,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 1934/2945,72407.940,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae MRSN824964,72407.1885,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBBDAGH-19-0018,72407.2408,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 61,72407.1276,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain SIKP117,72407.1334,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 1754/2734,72407.1081,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain WCHKP015075,72407.867,imipenem,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae 893,72407.2127,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBBEADF-19-0064,72407.2432,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 1092/1983,72407.955,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain Kpn1426,72407.1843,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864791,72407.565,ampicillin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae KP21,72407.1757,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBDDABB-19-0140,72407.2752,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCDAAB-19-0052,72407.2481,tetracycline,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae MRSN613318,72407.1855,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae L7202969,72407.3063,imipenem,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864816,72407.588,ampicillin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBEHABI-19-0226,72407.2860,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCIACA-19-0012,72407.2665,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain MRSN825224,72407.1824,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBDDAAJ-19-0029,72407.2749,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBAJAAH-19-0042,72407.2218,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain DG8133,72407.1105,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae Kp2,72407.1722,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain KUH-KPNHVF1,72407.1417,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBDEAAB-19-0192,72407.2761,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain KPSW+03,72407.670,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBAJAAH-19-0248,72407.2223,tetracycline,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBDJAAE-19-0045,72407.2939,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain KPCRETH18,72407.640,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBEHABI-19-0049,72407.2875,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae KP-3R,72407.2039,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBEHABI-19-0376,72407.2884,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae MRSN488952,72407.1883,imipenem,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBDEABH-19-0028,72407.2772,tetracycline,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBEHABI-19-0155,72407.2969,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain YmcD1,72407.1410,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain kpn-hnqyy,72407.1602,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae KP96_L17_12.23_ST6796_NDM5,72407.2154,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 1396/2289,72407.1070,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBBDAGD-19-0285,72407.2404,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBEHAAB-19-0152,72407.2840,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae CS00491,72407.2096,imipenem,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae TUM2577,72407.1941,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae WCHKP015111,72407.1972,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain WCHKP020125,72407.876,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBDHAAI-19-0075,72407.2798,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain SIKP096,72407.1322,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain SIKP012,72407.1277,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain KKP016,72407.1821,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBBAAAF-19-0018,72407.2239,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 1491/2413,72407.1007,imipenem,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCHAAB-19-0010,72407.2570,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCIACE-19-0228,72407.2683,ciprofloxacin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 68UCESBL_BLUE1LB,72407.726,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBBDAAF-19-0035,72407.2321,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864800,72407.583,gentamicin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain A2,72407.1439,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae MRSN752001,72407.2898,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain DG5547,72407.1127,imipenem,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBABAGH-19-0033,72407.2188,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain Kp6,72407.1700,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBDCAAE-19-0010,72407.2732,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBDDAAJ-19-0034,72407.2748,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBBDADH-19-0040,72407.2365,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain WCHKP015131,72407.843,imipenem,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864895,72407.577,imipenem,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBAEABJ-19-0023,72407.2201,ciprofloxacin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae WCHKP020126,72407.2001,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBCHAEA-19-0172,72407.2604,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBDDABD-19-0033,72407.2756,gentamicin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae DD02391,72407.1746,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain KPCRETH12,72407.666,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain WRC08_CMC432M,72407.1617,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBDIABB-19-0098,72407.2931,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain SCKP020059,72407.883,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain SIKP151,72407.1332,tetracycline,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain SIKP182,72407.1364,tetracycline,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBBCADC-19-0008,72407.2295,ciprofloxacin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBEAAFA-19-0062,72407.2816,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBABAGH-19-0006,72407.2185,ciprofloxacin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBDCAAE-19-0010,72407.2732,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain SIKP090,72407.1312,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain EC1339-F-N721-1-636,72407.1593,gentamicin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 1173/2056,72407.922,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain SIKP019,72407.1301,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain NUFHKp,72407.1138,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864755,72407.516,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBDEABG-19-0379,72407.2770,ciprofloxacin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864760,72407.527,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCGAAG-19-0037,72407.2528,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain RTE-E3,72407.1701,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBEAAAB-19-0001,72407.2938,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae WCHKP020127,72407.1996,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae N4292977,72407.3038,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae MRSN849636,72407.2893,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae WCHKP020124,72407.2000,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBDIAAB-19-0083,72407.2801,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae N5303358,72407.3035,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBBBAEF-19-0064,72407.2278,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain WRC19_AI1572C,72407.1651,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae CS00491,72407.2096,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 1461/2371,72407.1056,tetracycline,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864828,72407.595,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain WCHKP020124,72407.877,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JNQH327,72407.3068,ciprofloxacin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864739,72407.509,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain KKP043,72407.1805,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBDGAAB-19-0076,72407.2789,tetracycline,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain SIKP009,72407.1300,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864852,72407.479,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBBDACE-19-0002,72407.2346,gentamicin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain SCKP020060,72407.881,gentamicin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain DG5546,72407.1126,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 847/1793,72407.954,imipenem,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBBDAFG-19-0147,72407.2386,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain KPLC+01,72407.697,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCJAAB-19-0001,72407.2694,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae WCHKP015134,72407.1964,imipenem,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCHACA-19-0054,72407.2579,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae WCHKP020111,72407.2002,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBEFAAC-19-0019,72407.2836,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae M7233093,72407.3059,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae T1,72407.2101,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain EC3069-F-N728-1-636,72407.1587,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBBCABH-19-0059,72407.2285,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCBAAJ-19-0072,72407.2465,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae MMGN122,72407.1714,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 1853/2846,72407.935,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain AP278,72407.1256,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBCIACA-19-0550,72407.2658,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain SIKP069,72407.1323,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864848,72407.497,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain PP9,72407.1468,ciprofloxacin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae SCKP020058,72407.2005,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBBAAAB-19-0028,72407.2230,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBCDAAB-19-0170,72407.2916,gentamicin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864736,72407.512,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae L8263415,72407.3051,imipenem,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCHAEJ-19-0013,72407.2617,ciprofloxacin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864792,72407.570,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBADAAG-19-0018,72407.2199,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain KPCTRPRTH02,72407.652,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain SIKP048,72407.1295,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBEAAEI-19-0067,72407.2810,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBBDAAF-19-0035,72407.2321,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864853,72407.513,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 63,72407.1272,tetracycline,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBEAAFA-19-0062,72407.2816,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBCIAAB-19-0101,72407.2632,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain R4462,72407.1175,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCIAAH-19-0203,72407.2639,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain E109-1,72407.1151,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBEHABI-19-0043,72407.2872,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBABADF-19-0156,72407.2169,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain WRC31_S468MPCH,72407.1660,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBABADI-19-0053,72407.2177,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae Ecl8,1226680.5,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae 43UC17,72407.2055,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae WCHKP020130,72407.1997,imipenem,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864839,72407.494,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBCHAEA-19-0028,72407.2606,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain SIKP004,72407.1293,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae DD02297,72407.1745,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBEHABI-19-0243,72407.2859,ciprofloxacin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBBDAGD-19-0097,72407.2403,imipenem,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 33UCLB_AMP_LB,72407.719,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain CREC003-1,72407.704,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain M1A,72407.904,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864786,72407.563,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 1169/2053,72407.1004,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 46,72407.1260,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBABAGH-19-0143,72407.2182,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain SIKP080,72407.1311,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain MRSN489100,72407.1827,gentamicin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain GCID_CRE_0013,72407.1184,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864754,72407.514,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 649/1571,72407.952,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCCACA-19-0007,72407.2473,ciprofloxacin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 1828/2823,72407.938,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain KPCRETH16,72407.637,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBBEADF-19-0080,72407.2433,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864895,72407.577,gentamicin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain WCHKP015111,72407.850,imipenem,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 1643/2603,72407.1077,imipenem,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 1356/2244,72407.961,tetracycline,0,Klebsiella pneumoniae
